,,,Sum of DATA YTD Enrolments,,,,,Sum of DATA YTD Commencements,,,,
Year,Month,State,Higher Education,VET,Schools,ELICOS,Non-award,Higher Education,VET,Schools,ELICOS,Non-award
2020,Nov,SA,"25,373","12,095","2,204","3,478","2,199","9,613","7,138",987,"2,166","1,193"
2020,Nov,WA,"24,003","16,535",753,"6,929","1,423","8,026","9,769",360,"4,518","1,081"
2020,Nov,TAS,"6,469","8,568",299,404,151,"2,085","4,347",176,308,130
2020,Nov,NT,"2,118","2,197",103,234,55,730,"1,421",31,128,37
2020,Nov,ACT,"12,026","3,999",363,435,359,"3,717","2,497",90,335,248
2020,Nov Total,,"418,192","301,626","20,073","103,731","32,330","135,909","162,334","7,899","65,638","20,421"
2020,Dec,NSW,"153,540","121,182","4,697","41,607","15,170","49,597","62,102","2,126","27,723","9,044"
2020,Dec,VIC,"141,307","95,156","7,209","30,278","8,503","43,742","53,757","1,681","18,144","5,535"
2020,Dec,QLD,"53,484","44,249","4,455","21,393","4,475","18,527","23,658","2,458","13,343","3,158"
2020,Dec,SA,"25,382","12,215","2,224","3,489","2,199","9,622","7,258","1,007","2,177","1,193"
2020,Dec,WA,"24,036","16,652",755,"6,984","1,423","8,059","9,886",362,"4,573","1,081"
2020,Dec,TAS,"6,484","8,738",299,406,151,"2,100","4,517",176,310,130
2020,Dec,NT,"2,121","2,197",105,238,55,733,"1,421",33,132,37
2020,Dec,ACT,"12,044","4,025",363,435,359,"3,735","2,523",90,335,248
2020,Dec Total,,"418,398","304,414","20,107","104,830","32,335","136,115","165,122","7,933","66,737","20,426"
2020 Total,,,"4,525,473","2,870,332","233,499","981,450","337,557","1,138,077","1,198,828","87,411","524,334","194,649"
2021,Jan,NSW,"98,129","65,380","2,591","6,445","3,983","1,020","7,057",570,"1,516",760
2021,Jan,VIC,"84,718","51,839","4,518","5,196","1,752",501,"5,571",304,"1,010",133
2021,Jan,QLD,"33,873","23,278","2,696","3,257",619,491,"3,002",862,866,107
2021,Jan,SA,"16,122","7,125","1,388",662,708,68,972,452,156,47
2021,Jan,WA,"14,828","8,809",398,"1,356",267,161,"1,298",43,385,86
2021,Jan,TAS,"3,841","4,481",100,59,28,26,571,4,27,0
2021,Jan,NT,"1,493","1,376",66,37,4,2,274,7,13,0
2021,Jan,ACT,"7,425","2,410",173,79,62,106,115,1,24,8
2021,Jan Total,,"260,429","164,698","11,930","17,091","7,423","2,375","18,860","2,243","3,997","1,141"
2021,Feb,NSW,"108,396","71,113","2,959","7,526","4,325","11,287","12,790",938,"2,597","1,102"
2021,Feb,VIC,"88,790","56,506","4,564","5,961","2,658","4,573","10,238",350,"1,775","1,039"
2021,Feb,QLD,"38,820","25,010","2,703","3,714",852,"5,438","4,734",869,"1,323",340
2021,Feb,SA,"18,528","7,911","1,463",776,859,"2,474","1,758",527,270,198
2021,Feb,WA,"17,629","9,971",532,"1,557",306,"2,962","2,460",177,586,125
2021,Feb,TAS,"4,529","4,935",141,83,59,714,"1,025",45,51,31
2021,Feb,NT,"1,774","1,464",75,44,25,283,362,16,20,21
2021,Feb,ACT,"9,487","2,960",195,96,84,"2,168",665,23,41,30
2021,Feb Total,,"287,953","179,870","12,632","19,757","9,168","29,899","34,032","2,945","6,663","2,886"
2021,Mar,NSW,"120,019","73,295","2,964","9,099","4,770","22,910","14,972",943,"4,170","1,547"
2021,Mar,VIC,"103,340","60,249","4,565","6,949","2,903","19,123","13,981",351,"2,763","1,284"
2021,Mar,QLD,"41,771","26,478","2,705","4,482",934,"8,389","6,202",871,"2,091",422
2021,Mar,SA,"20,036","8,395","1,463",898,"1,029","3,982","2,242",527,392,368
2021,Mar,WA,"17,988","10,499",532,"1,824",313,"3,321","2,988",177,853,132
2021,Mar,TAS,"4,578","5,528",141,109,59,763,"1,618",45,77,31
2021,Mar,NT,"1,795","1,628",75,58,25,304,526,16,34,21
2021,Mar,ACT,"9,527","3,125",196,102,84,"2,208",830,24,47,30
2021,Mar Total,,"319,054","189,197","12,641","23,521","10,117","61,000","43,359","2,954","10,427","3,835"
2021,Apr,NSW,"120,151","80,514","2,989","10,263","4,858","23,042","22,191",968,"5,334","1,635"
2021,Apr,VIC,"103,484","64,829","4,581","7,522","2,908","19,267","18,561",367,"3,336","1,289"
2021,Apr,QLD,"41,990","28,547","2,722","4,955",934,"8,608","8,271",888,"2,564",422
